"all _ image _ url","Event Date - parsed","User","Occurrence status assumed to be present","Coordinate precision not valid","Country inferred from coordinates","Data are generalised","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Habitat incorrect for species","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Collector name unparseable","Coordinate uncertainty not valid","Collection code not recognised","Institution code not recognised"
"","2006-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","2005-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","1980-01-01","","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2006-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","false","false","false","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2010-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","2006-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","true","false","true","false","true","false","false","false","true","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","false","false","false","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2004-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","2003-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","false","false","false","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2005-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","2004-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","2004-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","","","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","","","true","false","true","false","false","false","false","true","false","false","true","true","false","false","false","false"
"","2010-01-01","","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false"
"","1998-03-31","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-31","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-31","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1996-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2002-03-18","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2007-03-30","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-03","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-26","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1985-03-12","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2006-03-29","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1997-03-12","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1995-03-16","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2006-03-31","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1995-03-16","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2016-03-23","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2007-03-30","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-31","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2011-03-07","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1996-03-24","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2002-03-01","","true","false","true","false","false","true","false","true","false","false","false","false","false","false","false","false"
"","1998-03-24","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-03-05","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1997-03-04","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1985-03-11","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1997-03-12","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-29","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2016-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2011-03-06","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-03","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"0cbbb5e9-94d1-46a3-a820-09d81714454a","2015-03-27","kerrileeharris","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-03-05","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2009-03-20","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-26","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-23","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-03-06","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2014-03-24","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2006-03-29","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"d133a5bc-7fed-4c3c-bfd9-d6320520fc30","2019-03-06","bobmcd","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1995-03-16","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-30","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1996-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1895-03-14","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1985-03-13","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-22","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1996-03-14","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1985-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-31","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1985-03-14","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1985-03-11","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1997-03-11","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1991-03-31","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-31","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-23","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1995-03-20","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-27","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1995-03-20","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1995-03-20","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2007-03-30","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1985-03-14","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1994-03-27","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1986-03-20","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1985-03-12","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2006-03-29","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1996-03-01","","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false"
"","1997-03-11","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1995-03-20","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1997-03-13","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-29","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1991-03-31","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-24","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1995-03-16","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-24","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1995-03-16","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-30","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1995-03-16","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1997-03-14","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-24","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1995-03-16","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1985-03-12","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2001-03-31","","true","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false"
"","1998-03-26","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2011-03-06","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1985-03-13","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1985-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2010-03-11","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-03-22","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1995-03-20","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-03-20","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2011-03-06","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1998-03-31","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-12","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1985-03-13","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2002-03-20","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1995-03-20","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1996-03-26","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1997-03-12","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2011-03-06","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2001-03-31","","true","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false"
"","1998-03-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1997-03-04","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1996-03-24","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2002-02-18","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-07","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-07","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-04","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2010-02-14","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-04","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1986-02-18","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2012-02-06","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2018-02-15","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-04","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1996-02-28","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2012-02-06","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2017-02-21","","false","false","false","true","true","false","false","false","false","false","false","false","false","false","true","true"
"","2019-02-07","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-07","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2001-02-05","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2002-02-28","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-02-25","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-01","","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false"
"","2019-02-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-04","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-01","","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false"
"","2019-02-05","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-01","","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false"
"a140f6dd-97e8-4c41-93b3-4ae094b19a82","2003-02-04","sullivanribbit","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2010-02-01","","true","false","true","false","false","true","false","true","false","false","false","false","false","false","false","false"
"","1998-02-17","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2017-02-20","","false","false","false","true","true","false","false","false","false","false","false","false","false","false","true","true"
"","2019-02-04","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-01","","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false"
"","2000-02-11","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2018-02-06","","false","true","false","true","true","false","false","false","false","false","false","false","false","false","true","true"
"","2017-02-21","","false","false","false","true","true","false","false","false","false","false","false","false","false","false","true","true"
"","2019-02-01","","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false"
"","1996-02-29","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1986-02-20","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-07","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2000-02-11","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2010-02-02","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-07","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-02-07","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-02-11","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1988-02-20","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2002-02-28","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2010-02-02","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2019-02-05","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2002-02-28","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-05","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1997-04-10","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-07","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1997-04-10","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2015-04-30","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2006-04-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-09","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1997-04-08","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1984-04-09","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-08","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-10","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2007-04-28","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1985-04-16","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-04","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2003-04-02","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2012-04-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2006-04-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1985-04-19","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2005-04-15","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1997-04-26","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-08","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","1997-04-04","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-08","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2009-04-15","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2003-04-10","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-05","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-03","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-09","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2006-04-28","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1985-04-22","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-09","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-09","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2012-04-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1997-04-14","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-04","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2012-04-11","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2012-04-04","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-07","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-09","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2015-04-30","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2009-04-19","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-06","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-08","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2009-04-16","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1995-04-27","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2002-04-18","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2012-04-10","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2005-04-19","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2012-04-04","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-08","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-04","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2005-04-14","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-09","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2013-04-08","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2005-04-14","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-09","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2005-04-20","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-09","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2005-04-15","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2012-04-10","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1991-04-01","","true","false","true","false","false","true","false","true","false","false","false","false","false","false","false","false"
"","2001-04-04","","true","false","true","false","false","false","false","true","false","false","false","false","false","true","false","false"
"","2012-04-06","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-08","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2012-04-11","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","1984-04-17","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2013-04-10","","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false","false"
"","2012-04-10","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2006-04-24","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2005-04-19","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2005-04-30","","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false"
