id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
448527,2009-10-13 12:59:03,2009-10-13,2009-10-13 16:59:03 UTC,Eastern Time (US & Canada),3773,anita363,2013-11-05 04:19:47 UTC,2017-05-20 20:49:58 UTC,casual,CC-BY-NC-SA,http://www.inaturalist.org/observations/448527,https://inaturalist-open-data.s3.amazonaws.com/photos/565561/medium.jpg?1444316863,,"","The local Bedouin offer camel rides from the Treasury back up through the Siq (that's it in the background).  Posted at low res to protect privacy, as this was just a random snap from a distance.

The dromedary camel survives only in domesticated form.",3,0,true,,"Petra, Ma'an, Jordan",30.322609,35.45177,,,,,false,,"",Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
552486,2013-12-24,2013-12-24,,Pacific Time (US & Canada),18171,vilnoori,2014-03-04 21:14:02 UTC,2018-03-02 00:24:48 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/552486,https://inaturalist-open-data.s3.amazonaws.com/photos/704773/medium.JPG?1393967654,,"","",1,0,true,,"The Living Desert, Palm Desert, CA",33.700183,-116.373139,571,571,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
721017,2014-04-04,2014-04-04,,Pacific Time (US & Canada),24020,lilyksmith,2014-06-06 21:20:29 UTC,2017-08-10 10:54:34 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/721017,https://inaturalist-open-data.s3.amazonaws.com/photos/906318/medium.JPG?1402089633,,"","I saw this camel in Mauritania, Africa last spring break. ",3,0,true,,"Mauritania, Africa",21.00789,-10.940835,953339,953339,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
756496,2014-06-19,2014-06-19,,Pacific Time (US & Canada),382,tsoleau,2014-06-27 18:09:51 UTC,2019-12-08 05:04:19 UTC,research,,http://www.inaturalist.org/observations/756496,https://inaturalist-open-data.s3.amazonaws.com/photos/950906/medium.jpg?1444614729,,"","",8,0,false,,"Jerusalem, Israel",31.82349,35.38456,1807,1807,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
845811,Wed Jul 09 2014 15:31:47 GMT+0800 (GMT+8),2014-07-09,2014-07-09 07:31:47 UTC,Australia/Perth,560,luisf0,2014-08-24 18:37:54 UTC,2020-05-17 15:22:12 UTC,research,,http://www.inaturalist.org/observations/845811,https://static.inaturalist.org/photos/3842162/medium.jpg?1464473098,,"",Track in Rudel River national park in Western Australia,2,0,false,3,"Rudall River, Karlamilyi, AU-WA-EP, AU-WA, AU",-22.746308,122.69919,5,5,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1046870,2014-10-13,2014-10-13,,Hawaii,25760,jimsteamer,2014-10-30 22:05:37 UTC,2017-05-20 02:25:14 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1046870,https://inaturalist-open-data.s3.amazonaws.com/photos/1313779/medium.JPG?1414706745,,"","",4,0,true,,Al Ain United Arab Emarites,24.284273,55.827026,3880,3880,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1054373,2014-11-01,2014-11-01,,Rome,20518,finrod,2014-11-04 12:07:41 UTC,2017-04-21 01:53:00 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1054373,https://inaturalist-open-data.s3.amazonaws.com/photos/1322448/medium.JPG?1415103670,,"","",3,0,true,,P 4603,35.551031,-5.919892,500,500,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1116343,2014-08-30,2014-08-30,,Eastern Time (US & Canada),50971,sei2796,2014-12-06 23:43:40 UTC,2017-11-10 22:23:06 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1116343,https://inaturalist-open-data.s3.amazonaws.com/photos/1402745/medium.jpg?1417909478,,"","",1,0,true,,"Richmond Metro Zoo, Virginia",37.38166,-77.767066,389,389,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1160245,2014-11-18,2014-11-18,,Pretoria,67428,peterslingsby,2015-01-04 14:02:10 UTC,2020-01-20 19:03:36 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1160245,https://inaturalist-open-data.s3.amazonaws.com/photos/1462484/medium.jpg?1420380212,,Slingsby mammals,"",1,0,true,,"Soebattersvlakte Farm, on P1540",-34.231,21.3724,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1266383,Mon Mar 02 2015 12:08:44 GMT+0000 (GMT),2015-03-02,2015-03-02 12:08:44 UTC,UTC,77403,ojensen,2015-03-02 12:39:37 UTC,2017-04-21 01:51:40 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1266383,https://inaturalist-open-data.s3.amazonaws.com/photos/1589364/medium.jpg?1425300348,,"","",1,0,true,3,"",34.062121,-4.983367,5,5,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1348520,2015-03-29 1:20:03 AM GMT+04:30,2015-03-29,2015-03-28 20:50:03 UTC,Kabul,82426,jan-agha-khan-sherzad,2015-03-30 01:13:59 UTC,2019-01-12 18:28:46 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1348520,https://inaturalist-open-data.s3.amazonaws.com/photos/1668542/medium.JPG?1427678149,,"","",3,0,false,2,,,,,,,,false,,,Camelus dromedarius,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1489898,2015-03-04 3:59:52 pm EAT,2015-03-04,2015-03-04 12:59:52 UTC,Nairobi,97044,waswala,2015-05-15 05:40:26 UTC,2017-08-12 11:21:49 UTC,casual,,http://www.inaturalist.org/observations/1489898,https://static.inaturalist.org/photos/1846453/medium.JPG?1431669815,,"","",2,0,true,2,"Unorganized in Al Jizah, EG-JZ, EG",29.9752616882,31.1369495392,,,,,false,gps,gps,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1506349,2010-07-11,2010-07-11,,New Delhi,100957,vikramsethia,2015-05-18 14:24:20 UTC,2017-05-20 01:53:26 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1506349,https://inaturalist-open-data.s3.amazonaws.com/photos/1866048/medium.JPG?1431959211,,"",These couple seems like are making love.Dont think of the world talking of them.Its something eternal and full of emotions.,2,0,true,62,"Bikaner, IN-RJ, IN",28.02094,73.30749,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1557717,2007-10-30,2007-10-30,,Madrid,106073,dolors,2015-05-28 19:28:05 UTC,2017-04-21 01:33:02 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1557717,https://inaturalist-open-data.s3.amazonaws.com/photos/1928229/medium.jpg?1432841302,,"camels, desrt, ethiopia","This morning I read in the newspaper that in northern Ethiopia, in the land of the Afars, build a road on the route of the salt, my memories of this land is hundreds of camels doing this route .... I I wonder what will become of them?",4,0,false,62,"Girona, ES-CT, ES",41.98311,2.82493,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1691832,2012-05-22 09:49:16,2012-05-22,2012-05-22 13:49:16 UTC,Eastern Time (US & Canada),51500,rmedina,2015-06-25 19:55:51 UTC,2017-04-21 01:51:16 UTC,casual,CC-BY,http://www.inaturalist.org/observations/1691832,https://inaturalist-open-data.s3.amazonaws.com/photos/2047667/medium.jpg?1444458756,,"",Camelus dromedarius,3,0,true,,"Meknes-Tafilalet, Morocco",31.175209,-4.026489,,,,,false,,"",Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1711097,2012-08-13 06:29:01,2012-08-13,2012-08-13 10:29:01 UTC,Eastern Time (US & Canada),51500,rmedina,2015-06-30 22:59:21 UTC,2017-04-21 01:45:40 UTC,casual,CC-BY,http://www.inaturalist.org/observations/1711097,https://inaturalist-open-data.s3.amazonaws.com/photos/2071767/medium.jpg?1444474013,,"",Camelus dromedarius,3,0,true,,"Turmi, Southern Nations Nationalities and People's Region, Ethiopia",5.127875,36.599578,,,,,false,,"",Camelus dromedarius,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1711098,2012-08-14 07:51:43,2012-08-14,2012-08-14 11:51:43 UTC,Eastern Time (US & Canada),51500,rmedina,2015-06-30 22:59:21 UTC,2017-04-21 01:45:30 UTC,casual,CC-BY,http://www.inaturalist.org/observations/1711098,https://inaturalist-open-data.s3.amazonaws.com/photos/2071768/medium.jpg?1444474016,,"","",2,0,true,,"Oromia, Ethiopia",5.152495,38.025054,,,,,false,,"",Camelus dromedarius,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1845374,2003-09-27 11:34:50,2003-09-27,2003-09-26 23:34:50 UTC,Wellington,99952,givernykate,2015-08-09 00:39:11 UTC,2017-09-05 07:32:41 UTC,casual,CC-BY-NC,http://naturewatch.org.nz/observations/1845374,https://inaturalist-open-data.s3.amazonaws.com/photos/2242526/medium.JPG?1439080796,,"","Dromedary Camel at Australia Zoo so long ago I cannot remember.

See more photos on facebook
https://www.facebook.com/GivernysCollection/photos/?tab=album&album_id=302244790139432",2,0,true,,australia Zoo,-26.838131,152.961225,201,201,,,false,,,Camelus dromedarius,Camelus dromedarius,Dromedary Camel,Mammalia,81542
1878849,2012-05-13 20:06:02,2012-05-13,2012-05-14 01:06:02 UTC,Guadalajara,86947,poncetejedai_tutor,2015-08-21 15:06:57 UTC,2017-05-20 01:24:48 UTC,casual,CC-BY-NC,http://conabio.inaturalist.org/observations/1878849,https://inaturalist-open-data.s3.amazonaws.com/photos/2289471/medium.jpg?1440169622,,"","",1,0,true,,mexticacan,21.26498,-102.783086,123,123,,,false,,"",Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
2005342,,,,Mexico City,138123,anaex,2015-09-27 16:30:59 UTC,2017-07-07 20:27:40 UTC,casual,CC-BY-NC,http://conabio.inaturalist.org/observations/2005342,https://inaturalist-open-data.s3.amazonaws.com/photos/2440215/medium.jpg?1443371494,,"","Sarai Lechuga Lopez
Ana Gabriela Exzacarias Solano
",3,0,true,,orizaba veracruz,18.850615,-97.103412,125,125,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
2016606,"",,,Mexico City,131733,biologia,2015-09-30 21:53:33 UTC,2017-07-07 20:27:45 UTC,casual,CC-BY-NC-SA,http://conabio.inaturalist.org/observations/2016606,https://inaturalist-open-data.s3.amazonaws.com/photos/2456357/medium.jpg?1443650020,,"","Ashley Giselle Gonzales Gonzales

Integrantes:
Ana Gabriela Exzacarias Solano
Itzel Lucero Vega Ramirez
Ashley Giselle Gonzales Gonzales
Maria Rosa De La Luz Apale
Lucia Antonio Antonio 
Sarai Lechuga Lopez
",1,0,true,,orizaba veracruz,18.850474,-97.10364,5460,5460,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
2107989,2015-07-14,2015-07-14,,Hawaii,131503,amberina,2015-10-14 02:48:29 UTC,2017-05-20 03:13:16 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/2107989,https://inaturalist-open-data.s3.amazonaws.com/photos/2522708/medium.png?1526413770,,"","",1,0,true,,Houston,,,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
2644138,2008-02-16,2008-02-16,,Paris,173306,zanskar,2016-02-04 13:39:19 UTC,2017-08-24 18:36:53 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/2644138,https://inaturalist-open-data.s3.amazonaws.com/photos/2967296/medium.JPG?1454593181,,"","",4,0,true,,chott el djerid,34.008273,8.275194,440,440,,,false,,,Camelus dromedarius,Camelus dromedarius,Dromedary Camel,Mammalia,81542
2652984,2016-02-07,2016-02-07,,Eastern Time (US & Canada),121021,cliygh-and-mia,2016-02-07 10:17:12 UTC,2017-05-19 03:54:18 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/2652984,https://static.inaturalist.org/photos/2980507/medium.jpg?1454840270,,"Dead sea, Jordan, Dead sea jordan, camel, dromedary camel",On the road to Amman Jordan ,0,0,true,,Dead sea jordan ,30.871583,35.433655,44146,44146,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
2807523,2016-03-20,2016-03-20,,Eastern Time (US & Canada),121021,cliygh-and-mia,2016-03-20 09:19:14 UTC,2017-05-19 03:47:19 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/2807523,https://static.inaturalist.org/photos/3189739/medium.jpg?1458465557,,"Camel, Jordan",Herd of Camels and Shepard in the distance,1,0,true,,Aqaba jordan ,29.784641,35.072479,922,922,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
2819896,2013-12-19,2013-12-19,,Eastern Time (US & Canada),170521,pb928314,2016-03-23 14:32:37 UTC,2018-11-14 23:01:02 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/2819896,https://inaturalist-open-data.s3.amazonaws.com/photos/3207641/medium.jpg?1458743558,,"",Camel outside of a church,1,0,true,,"Myrtle Beach, South Carolina",33.68906,-78.886694,14321,14321,,,false,,,Camelids,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3072596,2016-04-30 13:47:42,2016-04-30,2016-04-30 09:47:42 UTC,Abu Dhabi,186795,fadiyaghmour,2016-05-01 15:07:15 UTC,2017-05-19 03:38:07 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3072596,https://inaturalist-open-data.s3.amazonaws.com/photos/3541044/medium.JPG?1462115237,,"","",2,0,false,,kalba uae,,,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3128522,02/16/2010,2010-02-16,,Pacific Time (US & Canada),217857,petebanuelos,2016-05-09 00:22:24 UTC,2019-01-05 08:01:04 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3128522,https://inaturalist-open-data.s3.amazonaws.com/photos/3619402/medium.JPG?1462753346,,"","",1,0,true,,Chaffee Zoo,,,,,,,false,,,Camelids,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3407249,Mon May 30 2016 19:36:39 GMT+0500 (GMT+5),2016-05-30,2016-05-30 14:36:39 UTC,Ekaterinburg,113495,mariahewilson,2016-06-08 05:32:44 UTC,2017-05-19 03:34:09 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3407249,https://inaturalist-open-data.s3.amazonaws.com/photos/3943823/medium.jpg?1465363984,,"",,3,0,true,3,"Abdullah Bin Jassim Street, Doha, Doha, QA",25.289875,51.5319533333,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3454976,Sun Jun 12 2016 18:40:40 GMT+0300 (GMT+3),2016-06-12,2016-06-12 15:40:40 UTC,Baghdad,220328,naturalist1000,2016-06-14 09:39:22 UTC,2017-10-10 21:08:39 UTC,research,,http://www.inaturalist.org/observations/3454976,https://static.inaturalist.org/photos/4009444/medium.jpg?1465897205,,"",,6,0,false,3,"Laikipia North, KE-LK, KE",0.5112666667,36.9754216667,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3471786,2016-06-17,2016-06-17,,Eastern Time (US & Canada),121021,cliygh-and-mia,2016-06-17 15:14:30 UTC,2017-05-19 03:31:06 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3471786,https://static.inaturalist.org/photos/4034130/medium.JPG?1466176474,,"Jordan, Dromedary, Camel, Dromedary camel",Camels and rider,2,0,true,,Dana Biosphere Reserve,30.695974,35.477267,3648,3648,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3471810,2016-06-17,2016-06-17,,Eastern Time (US & Canada),121021,cliygh-and-mia,2016-06-17 15:19:49 UTC,2017-05-19 03:30:27 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3471810,https://static.inaturalist.org/photos/4034170/medium.JPG?1466176793,,"Jordan, Dromedary, Camel, Dromedary camel",A camel on the Dead Sea highway,1,0,true,,Dead Sea Road,31.874337,35.775125,9290,9290,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3483171,2016-06-19,2016-06-19,,Eastern Time (US & Canada),121021,cliygh-and-mia,2016-06-19 18:38:43 UTC,2017-05-19 03:28:40 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3483171,https://static.inaturalist.org/photos/4051048/medium.JPG?1466361526,,"Amman, Jordan, Amman jordan, Dromedary, Camel, Dromedary camel",Camels owned by Bedouin ,2,0,true,,Amman,31.945367,35.928372,46657,46657,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3899790,2016/08/16 6:28 PM EDT,2016-08-16,2016-08-16 22:28:00 UTC,Eastern Time (US & Canada),121021,cliygh-and-mia,2016-08-16 17:58:03 UTC,2017-05-19 03:17:07 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3899790,https://static.inaturalist.org/photos/4582202/medium.jpeg?1471370257,,"Aqaba, Jordan, Aqaba jordan, Camel",In front of the local Pizza hut               ,0,0,true,,"Aqaba, Jordan",29.5320522,35.0063209,23313,23313,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3931930,2016/08/21 3:15 PM EDT,2016-08-21,2016-08-21 19:15:00 UTC,Eastern Time (US & Canada),121021,cliygh-and-mia,2016-08-21 15:05:10 UTC,2017-05-19 03:16:00 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3931930,https://static.inaturalist.org/photos/4628740/medium.jpeg?1471791861,,"Wadi, Rum, Wadi rum, Camel",Small herd in front if the visitor center,1,0,true,,"Wadi Rum Village, Jordan",29.574299,35.421037,60291,60291,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3938947,2016/08/22 8:46 AM EDT,2016-08-22,2016-08-22 12:46:00 UTC,Eastern Time (US & Canada),121021,cliygh-and-mia,2016-08-22 12:08:23 UTC,2019-03-25 17:28:57 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3938947,https://static.inaturalist.org/photos/4638865/medium.jpeg?1471867671,,"Wadi, Rum, Wadi rum, Camel",Herd near the exit,4,0,true,,"Wadi Rum Village, Jordan",29.574299,35.421037,60291,60291,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3957423,2009/09/30 7:45 PM NZDT,2009-09-30,2009-09-30 06:45:00 UTC,Wellington,125707,tangatawhenua,2016-08-25 02:06:39 UTC,2017-04-21 01:42:36 UTC,casual,CC-BY-NC,http://naturewatch.org.nz/observations/3957423,https://inaturalist-open-data.s3.amazonaws.com/photos/4664077/medium.jpeg?1472089189,,"","These one humped camels are the transport that took us deep into the Sahara desert along with the Bedouin who are tangata whenua of this area.

None of the camels in the herd have the ring in the nose, which is only done in western countries.  Instead, the Bedouin, whose very lives depend on the camels, train them from birth for at least three years, allowing the babies to come on walks with their mum who are the ones who carry people and equipment.  

The herd just walks and it can be quite scary to have the camel you are riding shoot off and be in the lead when you do not have a clue where you are going and you do not have reins to pull them back!  The Bedouin control the herd by voice commands, not raised or shouting, but just a gentle ""turn right"" in their language and the whole herd turns.  Not every adult camel is riden, but the herd as a whole (minus the males) always travel together.  Witnessing the rapour that the Bedouin and camels have was truely astounding and being able to be a part of this unique way of life very humbling.",2,0,true,,"Dakhla, Qesm Al Wahat Ad Dakhlah, New Valley Governorate, Egypt",25.516667,29.166667,172,172,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
3974697,2014/05/28 12:08 AM EDT,2014-05-28,2014-05-28 04:08:00 UTC,Eastern Time (US & Canada),306862,swalmsley,2016-08-27 19:34:19 UTC,2017-05-19 03:13:11 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/3974697,https://inaturalist-open-data.s3.amazonaws.com/photos/4688184/medium.jpeg?1472326435,,"",                               ,3,0,true,,Oman,21.4735329,55.975413,674379,674379,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
4000856,2016/07/27 4:00 PM HKT,2016-07-27,2016-07-27 08:00:00 UTC,Hong Kong,24661,sunnetchan,2016-08-31 08:52:24 UTC,2017-05-19 03:11:59 UTC,casual,CC-BY-NC-SA,http://www.inaturalist.org/observations/4000856,https://inaturalist-open-data.s3.amazonaws.com/photos/4725483/medium.jpeg?1472633298,,"",單峰駱駝 Dromedary Camel (Camelus dromedarius)      ,1,0,true,,Sriracha Tiger Zoo Nong Kham Chon Buri Thailand,13.1483308,101.0108221,,,,,false,,,Dromedary Camel,Camelus dromedarius,Dromedary Camel,Mammalia,81542
4076655,Sat Jan 09 2016 06:04:27 GMT-0800 (PST),2016-01-09,2016-01-09 14:04:27 UTC,Pacific Time (US & Canada),319003,hashsaati,2016-09-10 06:53:04 UTC,2018-11-14 14:24:23 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/4076655,https://inaturalist-open-data.s3.amazonaws.com/photos/4834669/medium.jpg?1473490392,,"",,1,0,true,3,"Northern Governorate, , Northern Governorate, BH",26.1629148642,50.460142401,701,701,,,false,,,Camelids,Camelus dromedarius,Dromedary Camel,Mammalia,81542
