id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
845475,2014-08-15,2014-08-15,,Madrid,45084,serraquim,2014-08-24 12:50:14 -0400,2020-10-04 16:52:11 -0400,research,CC-BY-NC,http://www.inaturalist.org/observations/845475,https://inaturalist-open-data.s3.amazonaws.com/photos/1070505/medium.jpg?1408899022,,"vespa, vespula, avispa, hymenoptera","",2,0,false,,"Castelldefels, Barcelona, Catalunya",41.273367,1.94611,3,3,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
867508,Mon Sep 08 2014 10:41:19 GMT-0400 (EDT),2014-09-08,2014-09-08 10:41:19 -0400,Eastern Time (US & Canada),8778,gyrrlfalcon,2014-09-08 14:02:23 -0400,2019-10-26 23:01:55 -0400,research,CC-BY-NC,http://www.inaturalist.org/observations/867508,https://inaturalist-open-data.s3.amazonaws.com/photos/1100734/medium.jpg?1410199374,,"",,3,1,false,3,"Hamlin Beach State Park, Hamlin, NY, US",43.3592416667,-77.9500583333,,,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
901404,9/28/2014 1:15pm,2014-09-28,2014-09-28 13:15:00 -0400,Eastern Time (US & Canada),10787,maractwin,2014-09-29 15:20:51 -0400,2016-07-28 22:42:10 -0400,research,CC-BY,http://www.inaturalist.org/observations/901404,https://inaturalist-open-data.s3.amazonaws.com/photos/1148385/medium.jpg?1412018456,,"","They were attracted to a can of soda at a picnic.  We spilled some soda on the other end of the table, which moved them away from the person afraid of them.",2,0,false,,"Fort Adams State Park, Newport RI",41.47934,-71.33547,39,39,,,false,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
903886,2014-09-28,2014-09-28,,Pacific Time (US & Canada),53896,eduardovarella,2014-09-30 22:09:28 -0400,2017-10-06 19:09:01 -0400,research,CC-BY-NC,http://www.inaturalist.org/observations/903886,https://inaturalist-open-data.s3.amazonaws.com/photos/1151810/medium.jpg?1412129377,,"","",2,0,false,,Etobicoke,43.596008,-79.511568,384,384,,,false,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
943660,"January 12, 2009 20:43",2009-01-12,2009-01-12 02:43:00 -0500,Auckland,1115,jon_sullivan,2012-09-05 06:14:22 -0400,2020-08-31 00:12:11 -0400,research,CC-BY,http://naturewatch.org.nz/observations/340766,https://inaturalist-open-data.s3.amazonaws.com/photos/1180944/medium.jpg?1444471367,,"","found dead in a spider web in the back garden. We've been seeing a few wasps about lately.
",3,1,false,,"3 Gainsborough Street, Christchurch, Canterbury, New Zealand",-43.562734,172.604608,,,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
943679,30 October 2009,2009-10-30,,Auckland,1115,jon_sullivan,2012-09-05 15:56:24 -0400,2020-03-23 17:32:51 -0400,research,CC-BY,http://naturewatch.org.nz/observations/340785,https://inaturalist-open-data.s3.amazonaws.com/photos/1180978/medium.jpg?1444471667,,"","A german wasp caught inside the house on 30 October 2009 and put in the freezer. Here photographed to demonstrate the morphological differences with <em>Vespula vulgaris</em>. Later discarded.
",3,0,false,,"3 Gainsborough Street, Christchurch, Canterbury, New Zealand",-43.562644,172.604431,,,,,false,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
947102,2012-11-15,2012-11-15,,Auckland,57645,thomasjwalsh,2012-11-15 03:14:06 -0500,2020-04-06 02:04:45 -0400,research,CC-BY,http://naturewatch.org.nz/observations/344242,https://static.inaturalist.org/photos/1183572/medium.jpg?1444486933,,"","This wasp got stuck inside, so decided to spend the night. ",5,0,false,,"Marlborough, NZ-MA-MB, NZ",-41.4633013196,173.8041359917,,27785,obscured,,true,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
948886,2012-04-14,2012-04-14,,Auckland,11830,mohawkalex,2012-12-27 17:32:47 -0500,2020-06-10 16:47:43 -0400,research,CC-BY-NC-SA,http://naturewatch.org.nz/observations/346182,https://static.inaturalist.org/photos/1184828/medium.jpg?1444494715,,"",,2,0,false,,"pavilion drive, auckland",-36.984123762,174.7700378846,,,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
951090,2013-02-11,2013-02-11,,Auckland,57694,michaelmozzie,2013-02-11 00:25:51 -0500,2020-03-23 17:41:55 -0400,research,CC-BY,http://naturewatch.org.nz/observations/348713,https://static.inaturalist.org/photos/1204370/medium.?1413272530,,"Hamilton, Wasp",,3,0,false,,Hamilton,-37.8139457091,175.294611454,,,,,false,,,Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
951092,2013-02-11,2013-02-11,,Auckland,57694,michaelmozzie,2013-02-11 00:33:35 -0500,2020-04-06 02:09:24 -0400,research,CC-BY,http://naturewatch.org.nz/observations/348715,https://static.inaturalist.org/photos/1204372/medium.?1413272536,,"Hamilton, Wasp",A whole underground 'hive' of them.,3,0,false,,Hamilton,-37.8130515023,175.294238627,,,,,false,,,Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
953072,"February 24, 2013 10:01",2013-02-24,2013-02-23 16:01:00 -0500,Auckland,1115,jon_sullivan,2013-02-24 04:22:31 -0500,2020-03-23 17:45:06 -0400,research,CC-BY,http://naturewatch.org.nz/observations/350739,https://inaturalist-open-data.s3.amazonaws.com/photos/1185719/medium.jpg?1444500400,,"",A wasp that came into our house today. I caught it and put it in the freezer before photographing it.,3,0,false,,"123a Dyers Pass Road, Cashmere Hills, Canterbury, NZ",-43.579611,172.633116,,,,,false,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
954716,"March 10, 2013 14:39",2013-03-10,2013-03-09 20:39:00 -0500,Auckland,16490,tony_wills,2013-03-10 05:59:27 -0400,2020-03-23 17:51:13 -0400,research,CC-BY,http://naturewatch.org.nz/observations/353305,https://inaturalist-open-data.s3.amazonaws.com/photos/1186053/medium.jpg?1444531641,,"","A series of wasps came to this slowly dripping tap on a fairly hot day.  Unfortunately they stuck their heads into the tap so I couldn't get good shots of their heads, but I think the slightly blurry photo of one just after it landed is sufficient for an id - separated spots on abdomen, clear yellow line behind eye, dip in yellow band on thorax.",2,0,false,,Paekakariki Beach,-40.9613371945,174.966603443,2,2,,,false,,manual,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
964056,2013-05-21,2013-05-21,,Auckland,57957,heni,2013-05-21 03:28:53 -0400,2020-03-23 17:52:06 -0400,research,CC-BY,http://naturewatch.org.nz/observations/362261,https://static.inaturalist.org/photos/1215064/medium.?1413298324,,"",The rice paper plant was really humming today.,2,0,false,,"South Head, Auckland",-36.47,174.25,10,10,,,false,,,Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155
972152,"August 31, 2011",2011-08-31,,Auckland,58307,steve_kerr,2013-09-22 04:08:33 -0400,2020-03-23 17:54:57 -0400,research,CC-BY,http://naturewatch.org.nz/observations/370847,https://inaturalist-open-data.s3.amazonaws.com/photos/1226245/medium.?1413325865,,"","Vespidae: Vespula germanica - German Wasp, female",3,0,false,,Ranfurly - Taieri River,-45.5974645967,170.0973272324,,,,,false,,,Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155
972177,"May 14, 2011",2011-05-14,,Auckland,58307,steve_kerr,2013-09-22 04:18:46 -0400,2020-04-14 06:09:30 -0400,research,CC-BY,http://naturewatch.org.nz/observations/370872,https://inaturalist-open-data.s3.amazonaws.com/photos/1226281/medium.?1413325917,,"","Vespidae: Vespula germanica - German Wasp, male",2,1,false,,Outram Glen - Taieri River,-45.8292777077,170.2673149109,,,,,false,,,Common European Yellowjacket,Vespula vulgaris,Common European Yellowjacket,Insecta,127777
974863,"October 26, 2013",2013-10-26,,Auckland,58307,steve_kerr,2013-10-25 23:13:28 -0400,2019-10-25 03:25:01 -0400,research,CC-BY,http://naturewatch.org.nz/observations/373747,https://inaturalist-open-data.s3.amazonaws.com/photos/1229673/medium.?1413330421,,"","Vespidae: Vespula sp. attacking Eriophora pustulosa.
The wasp flew into the web and as the spider rushed out, it got away. It immediately returned and flew straight onto the spider, tearing it to shreds, in webbo.",2,0,false,,Dunedin - St. Clair (2nd Beach),-45.9156759042,170.4851379358,,,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
982239,2014-01-05,2014-01-05,,Auckland,58404,gregcomfort,2014-01-07 02:30:26 -0500,2021-02-28 20:17:36 -0500,research,CC-BY-NC,http://naturewatch.org.nz/observations/381430,https://inaturalist-open-data.s3.amazonaws.com/photos/1239768/medium.?1413365492,,wasp,Discovered two German Wasps living in a hole in our deck. Had noticed them around our garden during the last month or so. Rather surprised they can survive in such a small hole. ,1,0,false,,"Shirley, Christchurch",-43.497126824,172.6601039587,,,,,false,,,Wool carder bee (Anthidium manicatum),Anthidium manicatum,European Wool Carder Bee,Insecta,62453
983208,2014-01-12,2014-01-12,,Auckland,57604,grahame,2014-01-12 03:59:06 -0500,2019-10-26 15:12:15 -0400,research,CC-BY-NC-ND,http://naturewatch.org.nz/observations/382409,https://inaturalist-open-data.s3.amazonaws.com/photos/1240801/medium.?1413368118,,"Travis Wetland, Vespula germanica, German Wasp",Fortunately not a critter that's seen often at Travis.,2,1,false,,Travis Wetland,-43.4875755206,172.6961839199,,,,,false,,,Common European Yellowjacket,Vespula vulgaris,Common European Yellowjacket,Insecta,127777
989908,2014-03-18,2014-03-18,,Wellington,57775,pohanginapete,2014-03-17 20:34:02 -0400,2020-04-06 02:12:21 -0400,research,CC-BY,http://naturewatch.org.nz/observations/392524,https://inaturalist-open-data.s3.amazonaws.com/photos/1249163/medium.?1413389902,,"",Saw this carrying something; it alighted then bit off the wings and legs of the crane fly before flying off with the more manageable body. Not sure whether it's a common or german wasp and unfortunately couldn't get a more useful photograph of the face.,2,0,false,,Pohangina valley,-40.1891600145,175.8016616106,10,10,,,false,,,Common Wasp (Vespula vulgaris),Vespula vulgaris,Common European Yellowjacket,Insecta,127777
995979,2014-04-18,2014-04-18,,Auckland,58205,jefffryett,2014-04-17 22:54:50 -0400,2017-01-07 03:57:58 -0500,research,CC-BY,http://naturewatch.org.nz/observations/398970,https://inaturalist-open-data.s3.amazonaws.com/photos/1255183/medium.?1413402239,,"","Small beetle eating the bark of by Pittosporum. for size reference that's fencing wire in the top right of first photo. Found both beetle and larvae. they are excreting a juice that is attracting lots of wasps, saw both paper and German only got photos of the German tho. ",1,0,false,,32 Pirongia rd Te Awamutu,-38.0008377963,175.2995687313,7,7,,,false,,,Homepuraea amoena,Homepuraea amoena,,Insecta,390640
995981,2014-04-18,2014-04-18,,Auckland,58205,jefffryett,2014-04-17 23:02:18 -0400,2020-03-23 17:58:43 -0400,research,CC-BY,http://naturewatch.org.nz/observations/398972,https://inaturalist-open-data.s3.amazonaws.com/photos/1255187/medium.?1413402250,,"",Wasps feeding on bug excretion on a pittosporum. ,1,0,false,,32 Pirongia rd Te Awamutu,-38.0008483643,175.2995352037,,,,,false,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
996711,2014-04-19,2014-04-19,,Auckland,57779,nicholasmaynenz,2014-04-21 22:46:24 -0400,2020-04-16 23:22:03 -0400,research,CC-BY,http://naturewatch.org.nz/observations/399722,https://inaturalist-open-data.s3.amazonaws.com/photos/1256041/medium.?1413403796,,"","Thousands of wasps have been congregating on the outside of several coastal pohutukawa at Waiwera. So much so that the locals where complaining about a possible bee swarm or nest. 

Only one of the trees where still in flower; and that one was being visited by bees. 

As for the rest of them I could not figure out why there where so many wasps in them. Any thoughts?",2,0,false,,Waiwera Beach,-36.5430790005,174.7086560726,,,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
996819,2014-04-23,2014-04-23,,Wellington,57775,pohanginapete,2014-04-22 19:18:03 -0400,2020-08-31 00:32:24 -0400,research,CC-BY,http://naturewatch.org.nz/observations/399829,https://inaturalist-open-data.s3.amazonaws.com/photos/1256171/medium.?1413404019,,"",Preening on flax leaf.,2,0,false,,"Manawatu, NZ-MW, NZ",-40.1980171643,175.9189716712,4,28000,obscured,,true,,"",German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
998068,2014-04-30,2014-04-30,,Auckland,57604,grahame,2014-04-30 04:30:57 -0400,2020-04-06 23:31:04 -0400,research,CC-BY-NC-ND,http://naturewatch.org.nz/observations/401148,https://inaturalist-open-data.s3.amazonaws.com/photos/1257867/medium.?1413406662,,"Travis Wetland, Vespula germanica, German Wasp",Still wet and cold.,4,0,false,,Travis Wetland,-43.4873887038,172.6965487003,,,,,false,,,Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155
1008196,Thu Jul 10 2014 09:03:38 GMT+1200 (NZST),2014-07-10,2014-07-09 17:03:38 -0400,Wellington,57703,jacquiknight,2014-07-09 17:10:57 -0400,2020-04-06 02:15:47 -0400,research,CC-BY,http://naturewatch.org.nz/observations/412348,https://inaturalist-open-data.s3.amazonaws.com/photos/1269316/medium.?1413430257,,"",Dozens of these wasps around beef trimmings in my bird feeder.  Weather is cold wet and very windy.  I thought they hibernated?,4,0,false,,"3A Morpeth Place, Blockhouse Bay, Auckland, NZ",-36.9159616667,174.712355,,,,,false,,,German Wasp (Vespula germanica),Vespula germanica,German Yellowjacket,Insecta,126155
1013001,2014-08-21,2014-08-21,,Auckland,57632,dwilson,2014-08-20 23:59:58 -0400,2020-04-06 02:15:50 -0400,research,CC-BY-NC,http://naturewatch.org.nz/observations/417589,https://inaturalist-open-data.s3.amazonaws.com/photos/1273621/medium.?1413438404,,"","Noticed a few wasps in Warkworth today, chewing timber, and swatted this one.  First time I've noticed them in any numbers here this spring.  This one is 15mm long.",2,0,false,,Warkworth,-36.3979001972,174.6662664413,,,,,false,,,Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155
1024135,2013-02-15,2013-02-15,,Buenos Aires,50445,nicoolejnik,2014-10-18 09:47:47 -0400,2020-07-11 03:51:04 -0400,research,CC-BY-NC,http://www.inaturalist.org/observations/1024135,https://inaturalist-open-data.s3.amazonaws.com/photos/1283940/medium.jpg?1413640099,,"","Introduced species.
Feeding on a dead House Sparrow.",2,0,false,,"Las Ovejas, Neuquen",-36.991208,-70.748992,318,318,,,false,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
1114654,2014-11-05 13:51:00,2014-11-05,2014-11-05 13:51:00 -0500,Eastern Time (US & Canada),3785,treegrow,2014-12-05 23:41:01 -0500,2016-07-29 08:14:44 -0400,research,CC0,http://www.inaturalist.org/observations/1114654,https://inaturalist-open-data.s3.amazonaws.com/photos/1400756/medium.jpg?1444685086,,"","<em>Vespula germanica</em>. Els Poblets, Alicante, Spain.",1,0,false,,"Urbanitzacio Les Anfores, Valencia, Spain",38.862425,0.008926,103,103,,,false,,"",German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
1123376,Wed Dec 10 2014 10:05:54 GMT+1100 (AEDT),2014-12-10,2014-12-09 19:05:54 -0500,Brisbane,65283,tony_ladson,2014-12-09 18:27:49 -0500,2020-06-24 14:53:34 -0400,research,CC-BY,http://www.inaturalist.org/observations/1123376,https://inaturalist-open-data.s3.amazonaws.com/photos/1412260/medium.jpg?1418170160,,"",Wasp on the ground near Merri Ck,2,0,false,3,"Merri Park, Northcote, VIC, AU",-37.7716666667,144.98517,,,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
1162993,"January 5, 2015",2015-01-05,,Auckland,58307,steve_kerr,2015-01-05 16:35:48 -0500,2020-04-05 16:54:21 -0400,research,CC-BY,http://naturewatch.org.nz/observations/1162993,https://inaturalist-open-data.s3.amazonaws.com/photos/1465716/medium.jpg?1420493783,,"",female; approx. 2.5 cm,2,0,false,,Dunedin - Tomahawk Lagoon,-45.899331,170.553596,,,,,false,,"",Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155
1205657,2014-12-21 16:27:05,2014-12-21,2014-12-21 16:27:05 -0500,Eastern Time (US & Canada),3785,treegrow,2015-01-31 22:08:31 -0500,2016-07-29 08:28:19 -0400,needs_id,CC0,http://www.inaturalist.org/observations/1205657,https://inaturalist-open-data.s3.amazonaws.com/photos/1522670/medium.jpg?1444275487,,"","<em>Vespula germanica</em>. Els Poblets, Alicante, Spain",0,0,false,,"Denia, Valencia, Spain",38.868874,-0.007274,32,32,,,false,,"",German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
1206377,2014-08-27,2014-08-27,,Rome,32921,enricoschifani,2015-02-01 13:09:35 -0500,2016-07-29 08:28:33 -0400,needs_id,,http://www.inaturalist.org/observations/1206377,https://static.inaturalist.org/photos/1523651/medium.jpg?1422814181,,"","",0,0,false,,Polizzi Generosa,37.820687,13.981991,1200,1200,,,false,,,Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155
1209092,2015-02-02,2015-02-02,,Tokyo,17687,russ87,2015-02-02 21:53:49 -0500,2020-06-24 14:58:37 -0400,research,CC-BY-NC,http://www.inaturalist.org/observations/1209092,https://inaturalist-open-data.s3.amazonaws.com/photos/1527198/medium.jpg?1422932046,,"",I often find these hovering around quite close to the ground. Among the many species of spider wasps in the arboretum such a normal wasp species is quite rare.,3,0,false,,"Waite Arboretum, SA",-34.967365,138.630003,535,535,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
1231874,2014-05-17,2014-05-17,,Rome,32921,enricoschifani,2015-02-13 09:29:46 -0500,2016-07-29 08:31:04 -0400,needs_id,,http://www.inaturalist.org/observations/1231874,https://static.inaturalist.org/photos/1551471/medium.jpg?1423837810,,"","",0,0,false,,Mondello,38.195352,13.335452,8,8,,,false,,,Vespula germanica,Vespula germanica,German Yellowjacket,Insecta,126155
1281808,2015-03-08,2015-03-08,,Eastern Time (US & Canada),75723,npollock66,2015-03-08 16:59:02 -0400,2019-09-28 21:19:10 -0400,research,CC-BY-NC,http://www.inaturalist.org/observations/1281808,https://inaturalist-open-data.s3.amazonaws.com/photos/1607329/medium.jpg?1425848352,,"","",2,1,false,,Cook Campus,40.483109,-74.437807,,,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
1347028,2015-03-14,2015-03-14,,Auckland,57739,gailtv,2015-03-29 02:39:48 -0400,2019-05-29 13:33:56 -0400,needs_id,CC-BY,http://naturewatch.org.nz/observations/1347028,https://inaturalist-open-data.s3.amazonaws.com/photos/1666474/medium.jpg?1427611270,,"","Wasp. Not sure if it is German or Common, but think German.

A week or so before there were thousands covering the pussy-willow tree here, feeding on something on the leaves, then they just disappeared, almost overnight.",1,0,false,,"Stewart Island, Halfmoon Bay, Mapau Rd",-46.894092,168.123039,29,29,,,false,,,Ground Yellowjackets,Vespula vulgaris,Common European Yellowjacket,Insecta,127777
1355084,2015-03-31,2015-03-31,,Auckland,58552,nzwide,2015-04-01 02:06:55 -0400,2020-03-24 14:57:54 -0400,needs_id,CC-BY-NC,http://naturewatch.org.nz/observations/1355084,https://inaturalist-open-data.s3.amazonaws.com/photos/1677051/medium.JPG?1427868444,,"",Its abdomen seemed longer than usual. Might just be the angle.,1,0,false,,"Merrilands, New Plymouth, Taranaki",-39.073338,174.105208,103,103,,,false,,"",Vespula,Vespula germanica,German Yellowjacket,Insecta,126155
1361060,2015-03-31,2015-03-31,,Auckland,59227,lisa_bennett,2015-04-03 01:24:31 -0400,2020-09-29 22:08:57 -0400,research,CC-BY,http://naturewatch.org.nz/observations/1361060,https://inaturalist-open-data.s3.amazonaws.com/photos/1683131/medium.JPG?1428038697,,"","Lots of these wasps are coming inside at the moment, and are finding death on our windowsills.",2,0,false,,Featherston,-41.082319,175.355573,91,91,,,false,,,german wasp,Vespula germanica,German Yellowjacket,Insecta,126155
1397554,2015-04-14 13:52:34,2015-04-14,2015-04-13 21:52:34 -0400,Auckland,1115,jon_sullivan,2015-04-16 04:22:16 -0400,2020-04-06 02:16:06 -0400,research,CC-BY,http://naturewatch.org.nz/observations/1397554,https://inaturalist-open-data.s3.amazonaws.com/photos/1728005/medium.jpg?1444345750,,"dairy farm, pasture","",3,0,false,,"St. Peter's School, Cambridge, Waikato, New Zealand",-37.888742,175.427707,,,,,false,,"",German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
1401766,2015-04-15 12:57:41,2015-04-15,2015-04-14 20:57:41 -0400,Auckland,1115,jon_sullivan,2015-04-18 04:52:41 -0400,2020-04-06 02:16:51 -0400,research,CC-BY,http://naturewatch.org.nz/observations/1401766,https://inaturalist-open-data.s3.amazonaws.com/photos/1733929/medium.jpg?1429347224,,"",On flowers of <em>Protea neriifolia</em>.,3,0,false,,"Lincoln University, Lincoln, Selwyn, Canterbury, New Zealand",-43.6448583333,172.4684944444,,,,,false,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
1414263,2002-09-12,2002-09-12,,Belgrade,89890,alderash,2015-04-22 07:55:08 -0400,2019-02-16 17:32:49 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/1414263,https://inaturalist-open-data.s3.amazonaws.com/photos/1749901/medium.jpg?1429703716,,"","Thanks to Jacek Wendzonka ""brachytron"" (Poland) for species ID.",1,0,false,,"Valjevo, Serbia",44.26346,19.897678,23,23,,,false,,,German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
1458888,2015-03-15 16:34:32,2015-03-15,2015-03-14 23:34:32 -0400,Auckland,1115,jon_sullivan,2015-05-05 23:53:34 -0400,2020-01-02 18:54:43 -0500,research,CC-BY,http://naturewatch.org.nz/observations/1458888,https://inaturalist-open-data.s3.amazonaws.com/photos/1808992/medium.jpg?1444325156,,"","The head isn't in focus, I'm afraid. These are the best photos I got before it flew off.",2,1,false,,"Heathcote, Canterbury, New Zealand",-43.57764,172.714678,,,,,false,,"",German Yellowjacket,Vespula germanica,German Yellowjacket,Insecta,126155
1464007,Thu May 07 2015 13:03:00 GMT-0400 (EDT),2015-05-07,2015-05-07 13:03:00 -0400,Eastern Time (US & Canada),2171,bird_person,2015-05-07 21:10:53 -0400,2016-07-29 09:09:02 -0400,research,CC-BY-NC,http://www.inaturalist.org/observations/1464007,https://inaturalist-open-data.s3.amazonaws.com/photos/1815283/medium.jpg?1431047479,,,Trapped on windowsill. ID thanks to people at BugGuide.net.,1,0,false,3,"New Jersey, US",,,500,27923,private,,true,,,German Wasp,Vespula germanica,German Yellowjacket,Insecta,126155
